#year,month,day,julian_day,heure,pm10,aot1020
2006,6,4,155,9,59,0.272339
2006,6,4,155,10,60,0.308484
2006,6,4,155,14,79,0.328296
2006,6,4,155,15,83,0.360631
2006,6,7,158,12,55,0.320079
2006,6,7,158,13,40,0.343396
2006,6,7,158,14,52,0.400948
2006,6,7,158,16,48,0.314755
2006,6,9,160,10,67,0.438595
2006,6,9,160,11,66,0.441306
2006,6,9,160,14,87,0.520840
2006,6,9,160,15,75,0.519352
2006,6,9,160,16,58,0.443848
2006,6,10,161,8,52,0.457479
2006,6,10,161,9,51,0.450993
2006,6,10,161,10,61,0.441567
2006,6,10,161,11,71,0.438109
2006,6,10,161,12,80,0.445605
2006,6,10,161,13,85,0.451857
2006,6,10,161,14,92,0.462837
2006,6,10,161,15,97,0.446994
2006,6,10,161,16,96,0.427891
2006,6,11,162,8,66,0.430581
2006,6,11,162,11,62,0.475504
2006,6,11,162,14,89,0.866189
2006,6,18,169,9,19,0.268149
2006,6,18,169,10,17,0.323613
2006,6,18,169,12,84,0.455736
2006,6,18,169,14,95,0.730013
2006,6,18,169,15,97,0.638780
2006,6,18,169,16,79,0.558408
2006,6,22,173,8,90,0.531836
2006,6,22,173,13,59,0.798079
2006,6,22,173,16,46,0.483670
2006,6,23,174,8,32,0.305146
2006,6,23,174,9,36,0.323900
2006,6,23,174,10,38,0.340296
2006,6,23,174,12,46,0.403357
2006,6,23,174,13,49,0.419010
2006,6,23,174,14,57,0.443219
2006,6,24,175,10,82,0.617825
2006,6,24,175,11,79,0.670497
2006,6,24,175,12,84,0.703406
2006,6,24,175,13,86,0.699106
2006,6,24,175,14,86,0.666191
2006,6,24,175,15,82,0.729272
2006,6,24,175,16,79,0.672254
2006,6,25,176,8,50,0.434538
2006,6,25,176,10,63,0.480229
2006,6,25,176,13,55,0.497339
2006,6,25,176,15,41,0.427073
2006,6,26,177,10,43,0.367526
2006,6,26,177,14,40,0.343978
2006,6,26,177,15,39,0.306302
2006,6,27,178,8,43,0.348482
2006,6,27,178,11,36,0.345713
2006,6,27,178,12,35,0.329868
2006,6,27,178,13,41,0.326165
2006,7,11,192,9,55,0.357342
2006,7,11,192,10,38,0.291614
2006,7,11,192,11,41,0.279289
2006,7,11,192,13,44,0.264835
2006,9,14,257,9,15,0.068069
2006,9,14,257,10,21,0.036028
2006,9,14,257,11,17,0.038581
2006,9,14,257,12,15,0.031011
2006,9,14,257,13,9,0.041027
2006,9,14,257,15,10,0.040987
2006,9,14,257,16,22,0.051883
2006,9,15,258,8,79,0.329493
2006,9,15,258,12,84,0.342884
2006,9,15,258,13,81,0.326995
2006,9,15,258,14,73,0.328063
2006,9,18,261,8,27,0.055958
2006,9,18,261,9,28,0.056327
2006,9,18,261,10,30,0.051916
2006,9,18,261,11,12,0.054516
2006,9,18,261,12,37,0.056587
2006,9,18,261,13,34,0.066936
2006,9,18,261,14,34,0.058659
2006,9,20,263,10,3,0.072408
2006,9,20,263,15,7,0.120921
2006,9,20,263,16,18,0.084892
2006,9,21,264,9,9,0.053839
2006,9,21,264,11,5,0.046480
2006,9,21,264,13,16,0.026631
2006,9,21,264,14,11,0.041325
2006,9,21,264,15,21,0.039429
2006,9,21,264,16,23,0.049546
2006,9,22,265,10,13,0.054650
2006,9,22,265,12,17,0.050819
2006,9,22,265,13,16,0.057822
2006,9,22,265,14,17,0.093052
2006,9,22,265,15,17,0.086456
2006,9,22,265,16,10,0.063830
2006,9,23,266,9,11,0.035847
2006,9,23,266,10,10,0.044929
2006,9,23,266,14,8,0.054368
2006,9,27,270,10,13,0.051402
2006,9,27,270,13,18,0.039494
2006,9,27,270,14,20,0.050683
2006,9,30,273,9,31,0.068564
2006,9,30,273,10,27,0.062648
2006,9,30,273,14,5,0.040265
2006,9,30,273,15,20,0.044841
2006,9,30,273,16,18,0.056656
2006,10,1,274,8,17,0.045927
2006,10,1,274,9,15,0.048523
2006,10,1,274,10,11,0.053328
2006,10,1,274,12,9,0.062799
2006,10,1,274,14,11,0.065322
2006,10,1,274,15,14,0.096833
2006,10,1,274,16,11,0.083218
2006,10,3,276,9,17,0.031525
2006,10,3,276,10,7,0.025110
2006,10,3,276,11,17,0.021385
2006,10,3,276,12,14,0.018032
2006,10,3,276,13,18,0.019552
2006,10,4,277,10,11,0.077596
2006,10,4,277,11,7,0.059568
2006,10,4,277,12,17,0.049065
2006,10,4,277,13,13,0.047379
2006,10,4,277,16,7,0.047773
2006,10,5,278,9,26,0.049685
2006,10,5,278,10,15,0.067039
2006,10,5,278,11,22,0.075338
2006,10,6,279,12,19,0.054534
2006,10,6,279,13,25,0.067314
2006,10,6,279,15,25,0.087365
2006,10,6,279,16,26,0.081240
2006,10,8,281,8,31,0.172480
2006,10,8,281,9,43,0.191492
2006,10,8,281,13,42,0.248271
2006,10,8,281,14,41,0.270882
2006,10,10,283,8,36,0.212085
2006,10,10,283,10,26,0.112729
2006,10,10,283,13,35,0.138820
2006,10,11,284,9,14,0.061633
2006,10,11,284,10,14,0.035247
2006,10,11,284,11,5,0.025105
2006,10,11,284,12,16,0.010235
2006,10,11,284,13,17,0.032364
2006,10,20,293,9,41,0.042234
2006,10,20,293,10,26,0.038975
2006,10,20,293,11,15,0.043980
2006,10,20,293,12,14,0.035791
2006,10,20,293,13,6,0.100148
2006,10,20,293,14,15,0.103417
2006,10,20,293,15,23,0.128787
2006,10,22,295,9,13,0.049387
2006,10,22,295,11,7,0.028309
2006,10,22,295,12,4,0.044710
2006,10,22,295,13,9,0.033300
2006,10,22,295,14,12,0.036262
2006,10,22,295,15,9,0.038421
2006,10,22,295,16,10,0.070404
2006,10,23,296,8,24,0.048333
2006,10,23,296,9,21,0.040712
2006,10,23,296,10,16,0.041402
2006,10,23,296,11,24,0.058978
2006,10,23,296,12,28,0.051304
2006,10,23,296,13,24,0.064004
2006,10,23,296,14,24,0.049971
2006,10,23,296,15,18,0.092269
2006,10,24,297,9,18,0.045879
2006,10,24,297,10,17,0.039324
2006,10,24,297,11,15,0.045319
2006,10,24,297,12,23,0.049906
2006,10,24,297,13,26,0.063686
2006,10,25,298,10,13,0.030579
2006,10,25,298,11,8,0.025332
2006,10,25,298,12,5,0.028902
2006,10,25,298,13,9,0.019383
2006,10,25,298,14,7,0.020004
2006,10,26,299,10,9,0.016073
2006,10,26,299,11,5,0.020988
2006,10,26,299,12,8,0.009968
2006,10,26,299,13,3,0.012385
2006,10,29,302,9,30,0.143301
2006,10,29,302,10,31,0.115819
2006,10,29,302,11,29,0.095648
2006,10,29,302,12,32,0.072069
2006,10,29,302,13,25,0.065938
2006,10,29,302,14,22,0.087564
2006,10,29,302,15,30,0.072892
2006,10,29,302,16,24,0.071759
2006,11,2,306,10,2,0.032940
2006,11,2,306,11,8,0.033059
2006,11,2,306,13,15,0.031404
2006,11,2,306,14,10,0.030826
2006,11,2,306,15,10,0.032287
2006,11,2,306,16,15,0.038616
2006,11,3,307,9,11,0.037209
2006,11,3,307,10,12,0.031111
2006,11,3,307,11,9,0.038574
2006,11,3,307,12,13,0.035930
2006,11,3,307,13,10,0.031562
2006,11,3,307,14,8,0.036660
2006,11,3,307,15,18,0.040782
2006,11,4,308,10,7,0.017405
2006,11,4,308,13,4,0.021701
2006,11,4,308,14,7,0.018455
2006,11,6,310,10,14,0.050003
2006,11,6,310,11,14,0.048632
2006,11,6,310,13,18,0.052375
2006,11,6,310,14,20,0.055727
2006,11,6,310,15,13,0.050333
2006,11,6,310,16,13,0.048931
2006,11,7,311,9,16,0.051945
2006,11,7,311,10,12,0.054213
2006,11,7,311,13,21,0.056012
2006,11,7,311,14,18,0.048690
2006,11,7,311,15,22,0.042506
2006,11,8,312,10,11,0.036694
2006,11,8,312,11,15,0.049671
2006,11,8,312,13,16,0.050516
2006,11,8,312,14,15,0.057314
2006,11,8,312,15,16,0.068749
2006,11,9,313,9,13,0.042658
2006,11,9,313,10,12,0.036764
2006,11,9,313,11,17,0.034821
2006,11,9,313,12,14,0.031989
2006,11,9,313,13,12,0.034716
2006,11,9,313,14,11,0.037615
2006,11,9,313,15,13,0.042368
2006,11,9,313,16,15,0.041461
2006,11,10,314,9,23,0.017224
2006,11,10,314,10,1,0.013235
2006,11,10,314,11,15,0.012930
2006,11,10,314,12,6,0.012485
2006,11,11,315,9,13,0.029537
2006,11,11,315,13,16,0.045042
2006,11,11,315,14,6,0.041147
2006,11,11,315,16,9,0.044118
2006,11,12,316,9,4,0.023771
2006,11,12,316,11,5,0.023621
2006,11,12,316,12,4,0.018194
2006,11,12,316,13,6,0.018704
2006,11,12,316,14,4,0.020234
2006,11,12,316,15,6,0.020566
2006,11,13,317,10,9,0.025977
2006,11,13,317,11,3,0.024146
2006,11,13,317,12,3,0.014361
2006,11,13,317,13,4,0.015292
2006,11,13,317,15,12,0.016961
2006,11,13,317,16,8,0.018828
2006,11,14,318,12,8,0.017125
2006,11,14,318,13,13,0.016335
2006,11,14,318,14,13,0.022523
2006,11,14,318,15,6,0.023446
2006,11,14,318,16,13,0.023169
2006,11,15,319,11,15,0.021791
2006,11,15,319,12,1,0.018320
2006,11,15,319,13,8,0.020366
2006,11,15,319,14,2,0.022138
2006,11,15,319,15,8,0.020583
2006,11,15,319,16,11,0.028132
2006,11,16,320,9,5,0.034017
2006,11,16,320,10,5,0.025734
2006,11,16,320,11,6,0.027185
2006,11,17,321,10,6,0.031005
2006,11,17,321,11,11,0.027021
2006,11,17,321,12,7,0.025012
2006,11,17,321,13,3,0.031090
2006,11,17,321,14,10,0.040419
2006,11,18,322,10,7,0.056282
2006,11,18,322,11,3,0.024787
2006,11,18,322,12,6,0.019011
2006,11,18,322,13,8,0.022016
2006,11,18,322,14,7,0.026163
2006,11,18,322,15,9,0.040095
2006,11,18,322,16,8,0.045764
2006,11,19,323,9,5,0.017646
2006,11,19,323,10,1,0.017118
2006,11,19,323,11,7,0.018157
2006,11,19,323,12,10,0.014581
2006,11,19,323,13,3,0.015412
2006,11,19,323,14,7,0.017103
2006,11,19,323,15,9,0.019661
2006,11,19,323,16,9,0.023215
2006,11,20,324,9,12,0.039375
2006,11,20,324,10,15,0.031322
2006,11,20,324,11,12,0.039171
2006,11,20,324,13,8,0.048725
2006,11,20,324,15,15,0.056200
2006,11,20,324,16,18,0.060600
2006,11,21,325,9,35,0.126840
2006,11,21,325,11,32,0.134230
2006,11,21,325,14,28,0.143654
2006,11,21,325,15,37,0.140694
2006,11,21,325,16,34,0.139448
2006,11,22,326,10,12,0.045069
2006,11,22,326,11,15,0.032870
2006,11,22,326,12,18,0.052916
2006,11,22,326,13,15,0.054158
2006,11,22,326,14,19,0.040509
2006,11,24,328,9,17,0.032742
2006,11,24,328,10,14,0.037944
2006,11,24,328,11,11,0.027762
2006,11,24,328,13,18,0.075611
2006,11,24,328,14,21,0.047967
2006,11,25,329,9,12,0.047364
2006,11,25,329,10,14,0.038914
2006,11,25,329,12,9,0.035395
2006,11,25,329,13,7,0.040518
2006,11,25,329,14,12,0.033422
2006,11,25,329,15,13,0.032562
2006,11,26,330,14,19,0.022684
2006,11,26,330,15,4,0.020596
2006,11,26,330,16,5,0.024329
2006,11,27,331,9,4,0.021884
2006,11,27,331,10,6,0.021790
2006,11,27,331,11,9,0.024964
2006,11,27,331,13,3,0.028273
2006,12,2,336,8,32,0.156209
2006,12,2,336,9,29,0.150846
